epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0382,0,96.5723,0,0,0,0,0,0,22.9688,0,2e-05,2e-05,2e-05
2,12.682,0,96.4991,0,0,0,0,0,0,22.9688,0,5.8812e-05,5.8812e-05,5.8812e-05
3,13.2959,0,96.5062,0,0,0,0,0,0,22.9688,0,9.604e-05,9.604e-05,9.604e-05
4,13.8426,0,96.5393,0,0,0,0,0,0,22.9688,0,0.000131684,0.000131684,0.000131684
5,14.51,0,96.4398,0,0,0,0,0,0,22.9688,0,0.000165744,0.000165744,0.000165744
6,15.1783,0,95.3669,0,0,0,0,0,0,22.9688,0,0.00019822,0.00019822,0.00019822
7,15.7928,0,94.0902,0,0,0,0,0,0,22.9688,0,0.000229112,0.000229112,0.000229112
8,16.4181,0,92.318,0,0,0,0,0,0,22.9688,0,0.00025842,0.00025842,0.00025842
9,16.9921,0,90.345,0,0,0,0,0,0,22.9688,0,0.000286144,0.000286144,0.000286144
10,17.592,0,89.419,0,0,0,0,0,0,22.9688,0,0.000312284,0.000312284,0.000312284
11,18.1791,0,88.1996,0,0,0,0,0,0,22.9688,0,0.00033684,0.00033684,0.00033684
12,18.7613,0,87.0358,0,0,0,0,0,0,22.9688,0,0.000359812,0.000359812,0.000359812
13,19.3711,0,85.6503,0,0,0,0,0,0,22.9688,0,0.0003812,0.0003812,0.0003812
14,19.9377,0,84.1251,0,0,0,0,0,0,22.9688,0,0.000401004,0.000401004,0.000401004
15,20.5089,0,82.8305,0,0,0,0,0,0,22.9688,0,0.000419224,0.000419224,0.000419224
16,21.0872,0,81.0953,0,0,0,0,0,0,22.9688,0,0.00043586,0.00043586,0.00043586
17,21.7022,0,79.9283,0,0,0,0,0,0,22.9688,0,0.000450912,0.000450912,0.000450912
18,22.279,0,78.3032,0,0,0,0,0,0,23,0,0.00046438,0.00046438,0.00046438
19,22.876,0,77.3678,0,0,0,0,0,0,23.0312,0,0.000476264,0.000476264,0.000476264
20,23.4547,0,75.8592,0,0,0,0,0,0,23.0625,0,0.000486564,0.000486564,0.000486564
21,24.0399,0,74.3868,0,0,0,0,0,0,23.125,0,0.00049528,0.00049528,0.00049528
22,24.6388,0,73.5614,0,0,0,0,0,0,23.2344,0,0.000502412,0.000502412,0.000502412
23,25.2017,0,73.6477,0,0,0,0,0,0,23.125,0,0.00050796,0.00050796,0.00050796
24,25.7647,0,72.4382,0,0,0,0,0,0,23.3125,0,0.000511924,0.000511924,0.000511924
25,26.3337,0,70.3804,0,0,0,0,0,0,23.4375,0,0.000514304,0.000514304,0.000514304
26,26.9197,0,69.3634,0,0,0,0,0,0,23.4219,0,0.0005151,0.0005151,0.0005151
27,27.5109,0,68.8791,0,0,0,0,0,0,23.2969,0,0.000514312,0.000514312,0.000514312
28,28.0989,0,67.8965,0,0,0,0,0,0,23.2969,0,0.00051194,0.00051194,0.00051194
29,28.7277,0,67.6043,0,0,0,0,0,0,23.1094,0,0.000507984,0.000507984,0.000507984
30,29.3675,0,66.723,0,0,0,0,0,0,23,0,0.000502444,0.000502444,0.000502444
31,29.9427,0,65.6484,0,0,0,0,0,0,23,0,0.00049532,0.00049532,0.00049532
32,30.5506,0,65.2935,0,0,0,0,0,0,22.9844,0,0.000486612,0.000486612,0.000486612
33,31.1729,0,64.9202,0,0,0,0,0,0,22.9688,0,0.00047632,0.00047632,0.00047632
34,31.7194,0,63.4059,0,0,0,0,0,0,22.9688,0,0.000464444,0.000464444,0.000464444
35,32.3191,0,63.1384,0,0,0,0,0,0,22.875,0,0.000450984,0.000450984,0.000450984
36,32.9176,0,62.5263,0,0,0,0,0,0,22.7656,0,0.00043594,0.00043594,0.00043594
37,33.4907,0,62.0182,0,0,0,0,0,0,22.7656,0,0.000419312,0.000419312,0.000419312
38,34.0922,0,61.4413,0,0,0,0,0,0,22.75,0,0.0004011,0.0004011,0.0004011
39,34.8526,0,61.3661,0,0,0,0,0,0,22.7344,0,0.000381304,0.000381304,0.000381304
40,35.4358,0,61.9478,0,0,0,0,0,0,22.7344,0,0.000359924,0.000359924,0.000359924
41,44.6847,0,62.248,0,0,0,0,0,0,22.7344,0,0.00033696,0.00033696,0.00033696
42,45.4778,0,60.7479,0,0,0,0,0,0,22.75,0,0.000312412,0.000312412,0.000312412
43,46.1938,0,60.9231,0,0,0,0,0,0,22.75,0,0.00028628,0.00028628,0.00028628
44,46.9504,0,60.154,0,0,0,0,0,0,22.6562,0,0.000258564,0.000258564,0.000258564
45,47.659,0,60.0557,0,0,0,0,0,0,22.6562,0,0.000229264,0.000229264,0.000229264
46,48.358,0,60.0298,0,0,0,0,0,0,22.5312,0,0.00019838,0.00019838,0.00019838
47,48.9889,0,59.7032,0,0,0,0,0,0,22.5312,0,0.000165912,0.000165912,0.000165912
48,49.7113,0,59.339,0,0,0,0,0,0,22.4219,0,0.00013186,0.00013186,0.00013186
49,50.3288,0,59.2778,0,0,0,0,0,0,22.4219,0,9.6224e-05,9.6224e-05,9.6224e-05
50,50.9949,0,59.32,0,0,0,0,0,0,22.25,0,5.9004e-05,5.9004e-05,5.9004e-05
